hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
Kepler-226,3,1.68,23.72666666666667,980.138,292.3760942,47.8809596
Kepler-157,3,1.6733333333333336,3.56,773.713,291.0972257,38.8756049
K2-233,3,1.6500000000000001,5.766666666666667,67.5062,230.4799011,-20.2317975
Kepler-363,3,1.633333333333333,24.303333333333338,762.596,283.1920779,41.3054172
Kepler-770,3,1.633333333333333,3.436666666666667,930.457,286.4904589,38.374872
GJ 367,3,1.6296666666666668,3.5976666666666666,9.41263,146.121464,-45.7790165
Kepler-54,3,1.62,4.5915333333333335,271.701,294.7739245,43.0561976
K2-381,3,1.588,3.14,145.701,288.0267612,-21.0075789
Kepler-394,3,1.58688938,3.1466666666666665,1058.72,296.3019792,50.6723115
K2-148,3,1.5666666666666664,3.1,124.458,14.5176494,-0.193258
LP 791-18,3,1.5606666666666669,3.313333333333333,26.4927,165.6904843,-16.4064445
K2-368,3,1.547,3.0700000000000003,206.608,332.6357627,-11.1661157
GJ 9827,3,1.5166666666666666,3.0533333333333332,29.661,351.7717763,-1.2853435
Kepler-158,3,1.4833333333333334,3.1524,315.177,284.0323723,39.7815365
Kepler-301,3,1.4833333333333334,2.83,719.166,283.982904,49.2329512
Kepler-403,3,1.4733333333333334,2.8033333333333332,840.269,289.9214256,46.7445267
Kepler-354,3,1.4633333333333336,2.7933333333333334,554.064,285.7515347,41.3356739
Kepler-763,3,1.4366666666666665,2.67,962.459,292.1445534,47.1573604
Kepler-399,3,1.4266666666666665,2.566666666666667,740.537,299.5017242,40.6707669
Kepler-249,3,1.39,2.433333333333333,190.401,296.9853002,43.6586043
Kepler-1254,3,1.3866666666666667,2.51,622.818,285.1733174,48.7700099
Kepler-206,3,1.3866666666666667,2.486666666666667,594.447,291.6346564,41.8338415
Kepler-326,3,1.3766666666666667,22.96666666666667,487.675,294.3255898,46.0022646
PSR B1257+12,3,1.3493333333333333,2.7399999999999998,600.0,195.0149029,12.6823534
Kepler-334,3,1.32,2.2199999999999998,426.59,287.1406177,47.1151153
Kepler-446,3,1.32,2.22,96.339,282.2501047,44.921002
Kepler-327,3,1.29,8.450000000000001,241.987,292.6422963,44.0876251
